iter	TotalF1:average=Macro	MultiClass
703	0.9784585277	0.0699873422
704	0.9784195511	0.06997106412
705	0.9784264864	0.06994636017
706	0.9784052751	0.06991736788
707	0.9784299649	0.0698848665
708	0.978406998	0.06986191169
709	0.9784407733	0.06982288204
710	0.9784832174	0.06980482396
711	0.9784849512	0.06977334666
712	0.9785273952	0.06974593053
713	0.978528037	0.06972688012
714	0.9785085489	0.06970958054
715	0.9785079071	0.06968407075
716	0.9785273952	0.0696699064
717	0.9785520848	0.0696514283
718	0.9785969041	0.06962855839
719	0.9786146582	0.0696011189
720	0.9786588355	0.06956410047
721	0.9786553678	0.06954476688
722	0.978653634	0.06952442565
723	0.97865646	0.06950133146
724	0.9786616616	0.06947756197
725	0.9787006372	0.06946131209
726	0.9787023711	0.06942032366
727	0.9787131896	0.06939306781
728	0.9787591004	0.069358562
729	0.9787712374	0.06933769635
730	0.9787729712	0.06931811436
731	0.9787677697	0.06927975914
732	0.9788102127	0.0692641755
733	0.9788102127	0.06924486549
734	0.9788268739	0.06922535926
735	0.9788119465	0.06920764357
736	0.9788686753	0.06918504488
737	0.9788732355	0.06916057663
738	0.9788578571	0.06914410027
739	0.9788773446	0.06911984275
740	0.9788589496	0.06910208738
741	0.9788502803	0.06908099764
742	0.9788502803	0.0690633737
743	0.9788342604	0.06904207528
744	0.978872143	0.06900994564
745	0.9788704091	0.06897499452
746	0.9788944568	0.06894995185
747	0.9789535603	0.06892357083
748	0.9789581207	0.06889754318
749	0.9789615884	0.06886204087
750	0.9790241592	0.0688400765
751	0.9790022969	0.06882308446
752	0.9789810757	0.0687982717
753	0.9790109663	0.06875598543
754	0.9790109663	0.06873844512
755	0.9790321874	0.06871561489
756	0.9791118699	0.0686734113
757	0.9790958506	0.06863818326
758	0.9790798312	0.0686038118
759	0.9791164305	0.06858601477
760	0.9790934756	0.068572985
761	0.9791571386	0.06854367093
762	0.9791411193	0.06852818507
763	0.9791411193	0.06850278189
